Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Groundout,False,1,TOP,1,0,0,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Double,False,1,TOP,2,0,1,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Groundout,False,1,TOP,3,0,1,,673357.0,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Strikeout,False,1,TOP,4,0,2,,,673357.0,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Flyout,False,1,BOTTOM,5,0,0,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Strikeout,False,1,BOTTOM,6,0,1,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Walk,False,1,BOTTOM,7,0,2,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Wild Pitch,False,1,BOTTOM,8,0,2,663656.0,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Hit By Pitch,False,1,BOTTOM,8,0,2,,663656.0,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Strikeout,False,1,BOTTOM,9,0,2,547989.0,663656.0,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Double,False,2,TOP,10,0,0,,,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Hit By Pitch,False,2,TOP,11,0,0,,660162.0,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
Single,False,2,TOP,12,0,0,683734.0,660162.0,,677651,605182,665161,608324,663656,547989,682073,676801,667452,643289,455117,641313,673357,643217,650391,660162,683734,518735,693049,462101,682073,455117.0,547989,643289,608324,665161,667452,676801,663656,650391,518735,683734,462101,660162,641313,643217,673357,693049
