game_year,game_date,game_pk,game_type,away_team,home_team,away_id,home_id,away_score,home_score,is_complete,url
2015,2015-04-05,413661,R,cardinals,cubs,26,5,3,0,True,www.mlb.com/gameday/cardinals-vs-cubs/2015/04/05/413661/final/
2015,2015-04-06,413660,R,giants,d-backs,25,2,5,4,True,www.mlb.com/gameday/giants-vs-d-backs/2015/04/06/413660/final/
2015,2015-04-06,413658,R,pirates,reds,22,6,2,5,True,www.mlb.com/gameday/pirates-vs-reds/2015/04/06/413658/final/
2015,2015-04-06,413656,R,twins,tigers,17,10,0,4,True,www.mlb.com/gameday/twins-vs-tigers/2015/04/06/413656/final/
2015,2015-04-06,413654,R,indians,astros,7,11,0,2,True,www.mlb.com/gameday/indians-vs-astros/2015/04/06/413654/final/
2015,2015-04-06,413653,R,white-sox,royals,9,12,1,10,True,www.mlb.com/gameday/white-sox-vs-royals/2015/04/06/413653/final/
2015,2015-04-06,413659,R,padres,dodgers,23,14,3,6,True,www.mlb.com/gameday/padres-vs-dodgers/2015/04/06/413659/final/
2015,2015-04-06,413650,R,braves,marlins,1,15,2,1,True,www.mlb.com/gameday/braves-vs-marlins/2015/04/06/413650/final/
2015,2015-04-06,413655,R,rockies,brewers,8,16,10,0,True,www.mlb.com/gameday/rockies-vs-brewers/2015/04/06/413655/final/
2015,2015-04-06,413663,R,blue-jays,yankees,29,19,6,1,True,www.mlb.com/gameday/blue-jays-vs-yankees/2015/04/06/413663/final/
2015,2015-04-06,413662,R,rangers,athletics,28,20,0,8,True,www.mlb.com/gameday/rangers-vs-athletics/2015/04/06/413662/final/
2015,2015-04-06,413652,R,red-sox,phillies,4,21,8,0,True,www.mlb.com/gameday/red-sox-vs-phillies/2015/04/06/413652/final/
2015,2015-04-06,413649,R,angels,mariners,13,24,1,4,True,www.mlb.com/gameday/angels-vs-mariners/2015/04/06/413649/final/
2015,2015-04-06,413651,R,orioles,rays,3,27,6,2,True,www.mlb.com/gameday/orioles-vs-rays/2015/04/06/413651/final/
2015,2015-04-06,413657,R,mets,nationals,18,30,3,1,True,www.mlb.com/gameday/mets-vs-nationals/2015/04/06/413657/final/
2015,2015-04-07,413669,R,giants,d-backs,25,2,6,7,True,www.mlb.com/gameday/giants-vs-d-backs/2015/04/07/413669/final/
2015,2015-04-07,413668,R,padres,dodgers,23,14,7,3,True,www.mlb.com/gameday/padres-vs-dodgers/2015/04/07/413668/final/
2015,2015-04-07,413665,R,braves,marlins,1,15,12,2,True,www.mlb.com/gameday/braves-vs-marlins/2015/04/07/413665/final/
2015,2015-04-07,413667,R,rockies,brewers,8,16,5,2,True,www.mlb.com/gameday/rockies-vs-brewers/2015/04/07/413667/final/
2015,2015-04-07,413670,R,rangers,athletics,28,20,3,1,True,www.mlb.com/gameday/rangers-vs-athletics/2015/04/07/413670/final/
2015,2015-04-07,413664,R,angels,mariners,13,24,2,0,True,www.mlb.com/gameday/angels-vs-mariners/2015/04/07/413664/final/
2015,2015-04-07,413666,R,orioles,rays,3,27,6,5,True,www.mlb.com/gameday/orioles-vs-rays/2015/04/07/413666/final/
2015,2015-04-08,413682,R,giants,d-backs,25,2,5,2,True,www.mlb.com/gameday/giants-vs-d-backs/2015/04/08/413682/final/
2015,2015-04-08,413693,R,cardinals,cubs,26,5,0,2,True,www.mlb.com/gameday/cardinals-vs-cubs/2015/04/08/413693/final/
2015,2015-04-08,413680,R,pirates,reds,22,6,4,5,True,www.mlb.com/gameday/pirates-vs-reds/2015/04/08/413680/final/
2015,2015-04-08,413678,R,twins,tigers,17,10,0,11,True,www.mlb.com/gameday/twins-vs-tigers/2015/04/08/413678/final/
2015,2015-04-08,413676,R,indians,astros,7,11,2,0,True,www.mlb.com/gameday/indians-vs-astros/2015/04/08/413676/final/
2015,2015-04-08,413675,R,white-sox,royals,9,12,5,7,True,www.mlb.com/gameday/white-sox-vs-royals/2015/04/08/413675/final/
2015,2015-04-08,413681,R,padres,dodgers,23,14,4,7,True,www.mlb.com/gameday/padres-vs-dodgers/2015/04/08/413681/final/
2015,2015-04-08,413672,R,braves,marlins,1,15,2,0,True,www.mlb.com/gameday/braves-vs-marlins/2015/04/08/413672/final/
2015,2015-04-08,413677,R,rockies,brewers,8,16,5,4,True,www.mlb.com/gameday/rockies-vs-brewers/2015/04/08/413677/final/
2015,2015-04-08,413685,R,blue-jays,yankees,29,19,3,4,True,www.mlb.com/gameday/blue-jays-vs-yankees/2015/04/08/413685/final/
